keys,en,es
Text/11/text,It's eigth o'clock. Cris' parents are in the living room. They are about to go somewhere.,Son las ocho de la tarde. Los padres de Cris están en el recibidor. Están a punto de irse a un sitio
Text/12/text,"Honey, are you sure you picked up everything? Phone, keys, flowers...","Cariño, ¿Seguro que lo tienes todo? Móvil, llaves flores…"
Text/13/text,"Yes, I have everything. Let's go.","Sí, lo tengo todo. Vámonos"
Text/14/text,"Well, well. My parents are finally gone. I think they won't be here until past midnight.","Bueno, mis padres ya se ha ido. Creo que no volverán hasta pasada la media noche. "
Text/15/text,Um... I think I will listen to music.,Um… Creo que escucharé algo de música
Text/16/text,One hour later...,Una hora después…
Text/17/text,I'm gonna send a message to my boyfriend. I'm so lonely and bored and maybe he wants to come along.,Le voy a mandar un mensaje a mi novio. Estoy sola y aburrida e igual se quiere pasar un rato
Text/18/text,"""Hi, handsome. I'm home alone and my parents won't come until very late. You wanna come? ;)""","Hola, guapetón. Estoy sola en casa hasta mañana. ¿Quieres venir y vemos una película?"
Text/19/text,"""I'd love to. But my parents aren't home either and I have to take care of my little.""","Me encantaría, pero mis padres tampoco están en casa y me toca cuidar de mi hermano pequeño"
Text/1a/text,"""You gotta babysit xd.""",Te toca hacer de niñera xd
Text/1b/text,"""Very funny... By the way, where did your parents go?""","Muy graciosa… Por cierto, ¿Sabes adónde han ido tus padres?"
Text/1c/text,"""I don't know. I only know that my mother went with a black dress I didn't knew she had and my dad wore a smokin and a flower crown.""",Ni idea. Solo sé que mi madre llevaba un vestido negro que ni sabía que tenía y padre llevaba un esmoquin y una corona de flores.
Text/1d/text,"""A flower crown? Like the ones they put in graves? Do you know if someone in your family passed away recently?""",¿Una corona de flores? ¿Como las que se ponen en los funerales? ¿Sabes si alguien en tu familia ha fallecido recientemente?
Text/1e/text,"""As far I know, no. Maybe it was some coworker or whatever.""","Que yo sepa no, quizá es algún compañero de trabajo."
